Country Name,City,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Updated Year,Id
Australia,Adelaide,2013,7.25,16.87,8,2018,1
Australia,Adelaide,2014,7.1,16.66,9,2018,2
Australia,Adelaide,2015,7.45,16.06,10,2018,3
Australia,Adelaide,2016,6.88,16.19,8,2018,4
Australia,Adelaide,2017,7.54,16.47,13,2022,5
Australia,Adelaide,2018,6.78,19.21,12,2022,6
Australia,Adelaide,2019,6.14,20.64,12,2022,7
Australia,Brisbane,2016,6.61,15.21,7,2018,8
Australia,Brisbane,2019,7.5,19.5,8,2022,9
Australia,Canberra,2019,13.9,21.93,9,2022,10
Australia,Central Coast,2019,10.5,21.1,8,2022,11
Australia,Darwin,2013,6.9,19.8,8,2018,12
Australia,Darwin,2014,8.1,21.7,8,2022,13
Australia,Darwin,2014,8.1,21.7,8,2018,14
Australia,Darwin,2015,8.6,22.4,5,2022,15
Australia,Darwin,2016,6.49,16.4,5,2022,16
Australia,Darwin,2016,6.5,16.4,5,2018,17
Australia,Darwin,2017,7,17,6,2022,18
Australia,Darwin,2018,8.7,17.95,4,2022,19
Australia,Darwin,2019,9.1,22.8,3,2022,20
Australia,Gladstone,2015,4.09,13.01,6,2018,21
Australia,Gladstone,2016,4.88,13.82,9,2018,22
Australia,Gladstone,2019,7.1,17.57,5,2022,23
Australia,Gold Coast,2019,8.3,19.7,6,2022,24
Australia,Gunnedah,2019,11.2,24.8,10,2022,25
Australia,Muswellbrook,2014,9.7,21.44,19,2018,26
Australia,Muswellbrook,2019,12.2,34.4,20,2022,27
Australia,Newcastle/Lower Hunter,2019,11.13,25.73,16,2022,28
Australia,Palmerston,2012,12,25.9,7,2018,29
Australia,Palmerston,2014,9.25,21.1,8,2022,30
Australia,Palmerston,2015,7.8,20.1,7,2022,31
Australia,Palmerston,2015,7.8,20.1,7,2018,32
Australia,Palmerston,2016,7.15,15.2,4,2022,33
Australia,Palmerston,2017,7.3,19.5,5,2022,34
Australia,Palmerston,2018,8.7,19.7,5,2022,35
Australia,Palmerston,2019,9.75,22,5,2022,36
Australia,Perth,2019,6.84,12.58,9,2022,37
Australia,Perth,2019,6.84,12.58,9,2022,38
Australia,Singleton,2016,7.85,19.3,17,2018,39
Australia,Singleton,2019,10.9,30.1,14,2022,40
Australia,Sydney,2016,7.88,16.51,15,2018,41
Australia,Sydney,2019,11.27,23.62,15,2022,42
Australia,Townsville,2019,7,20.2,4,2022,43
Australia,Wollongong/Illawarra,2013,7.75,16.92,12,2018,44
